"Cell"	"Cell_BROAD"	"Cell_COSMIC"	"Drug"	"LN_IC50"
"SIDM00713"	"ACH-000153"	688058	24360	-2.28605073871069
"SIDM01100"	"ACH-000366"	688086	24360	-3.70315007481604
"SIDM01099"	"ACH-000341"	688087	24360	-1.89310379604211
"SIDM01179"	"ACH-001702"	688121	24360	-3.40640796166607
"SIDM00320"	"ACH-001233"	713869	24360	0.926191624666144
"SIDM00293"	"ACH-002052"	713878	24360	-2.33383380462354
"SIDM00368"	"ACH-000670"	713880	24360	-3.46291664413551
"SIDM00365"	"ACH-002196"	713885	24360	-1.77950021581169
"SIDM00294"	"ACH-001549"	713899	24360	-3.06562219018338
"SIDM01098"	"ACH-000149"	717431	24360	-4.34999576697794
"SIDM00715"	"ACH-000521"	722045	24360	0.0816276677113575
"SIDM00702"	"ACH-000311"	722046	24360	-2.90564005248271
"SIDM00739"	"ACH-000675"	722058	24360	-4.05454870731024
"SIDM01124"	"ACH-000945"	722066	24360	-2.65868465800095
"SIDM01184"	"ACH-000018"	724812	24360	-2.71681161227967
"SIDM01148"	"ACH-000050"	724825	24360	-3.51609081673763
"SIDM01101"	"ACH-000260"	724828	24360	-1.94717773235512
"SIDM00649"	"ACH-000510"	724831	24360	-1.93519077888411
"SIDM00708"	"ACH-000841"	724834	24360	-2.69166398599318
"SIDM01182"	"ACH-000522"	724838	24360	-3.73149981660657
"SIDM01174"	"ACH-001402"	724839	24360	-2.67347014634457
"SIDM01119"	"ACH-000775"	724855	24360	1.06347905312095
"SIDM00921"	"ACH-000264"	724859	24360	-1.9276879553446
"SIDM00547"	"ACH-000438"	724863	24360	-2.25953119151305
"SIDM00645"	"ACH-000666"	724866	24360	0.692192863965526
"SIDM00771"	"ACH-000496"	724868	24360	-3.23190906207409
"SIDM00669"	"ACH-000094"	724869	24360	-0.190987961429953
"SIDM00505"	"ACH-000601"	724870	24360	-2.91958719969421
"SIDM01078"	"ACH-000790"	724872	24360	-1.34465746730606
"SIDM00756"	"ACH-000886"	724873	24360	-2.62219079132419
"SIDM00728"	"ACH-000718"	724874	24360	0.497611022376332
"SIDM01163"	"ACH-000677"	724878	24360	-2.52326888190178
"SIDM00347"	"ACH-000408"	735784	24360	-2.55531078219792
"SIDM00872"	"ACH-000859"	749709	24360	0.319888263596994
"SIDM00866"	"ACH-000374"	749710	24360	0.638914488456124
"SIDM00885"	"ACH-000111"	749711	24360	1.24064022233935
"SIDM00884"	"ACH-000699"	749712	24360	-2.25540692780093
"SIDM00877"	"ACH-000196"	749713	24360	-3.24691373413427
"SIDM00874"	"ACH-000223"	749714	24360	0.134904954513685
"SIDM00774"	"ACH-000691"	749715	24360	-2.65544863497959
"SIDM00772"	"ACH-000755"	749716	24360	1.06130013540414
"SIDM00675"	"ACH-000276"	749717	24360	-1.69885064934035
"SIDM00172"	"ACH-002212"	753531	24360	-4.01673362596789
"SIDM00174"	"ACH-002213"	753532	24360	-2.02309620794594
"SIDM00191"	"ACH-002090"	753533	24360	-2.0357342782187
"SIDM00990"	"ACH-000603"	753534	24360	0.394257772717211
"SIDM00986"	"ACH-000548"	753535	24360	-2.07979489129998
"SIDM00489"	"ACH-002043"	753538	24360	-3.52339517306292
"SIDM00961"	"ACH-000210"	753539	24360	-5.04447140254436
"SIDM00939"	"ACH-000826"	753540	24360	-0.76732513209256
"SIDM00942"	"ACH-000518"	753541	24360	-3.71097547161223
"SIDM00175"	"ACH-002096"	753545	24360	-2.03526682241869
"SIDM00190"	"ACH-002097"	753546	24360	-0.686060588696997
"SIDM00953"	"ACH-001049"	753547	24360	-1.50767048582668
"SIDM00951"	"ACH-002222"	753548	24360	-4.32443664390642
"SIDM00207"	"ACH-002230"	753549	24360	0.844919608472839
"SIDM00524"	"ACH-000703"	753551	24360	-3.95513080617729
"SIDM00970"	"ACH-002235"	753552	24360	-2.93527226032509
"SIDM00486"	"ACH-000563"	753554	24360	-4.23270449590613
"SIDM00278"	"ACH-000305"	753555	24360	-3.12566405217395
"SIDM01044"	"ACH-000585"	753556	24360	-0.476390750849432
"SIDM00188"	"ACH-002139"	753558	24360	-2.76317046342371
"SIDM00052"	"ACH-002243"	753559	24360	-3.53614007341161
"SIDM00591"	"ACH-002045"	753561	24360	-1.71612293399387
"SIDM00590"	"ACH-000472"	753562	24360	-4.33607732165818
"SIDM00632"	"ACH-002247"	753563	24360	-5.30254207312248
"SIDM00223"	"ACH-002144"	753564	24360	-2.0668265277463
"SIDM00230"	"ACH-002145"	753565	24360	-4.32570448638209
"SIDM00693"	"ACH-000396"	753566	24360	-3.04412155824594
"SIDM00606"	"ACH-000858"	753569	24360	-1.86381532215507
"SIDM00603"	"ACH-002260"	753570	24360	-3.10000696176706
"SIDM00301"	"ACH-000265"	753572	24360	-3.27874445097624
"SIDM01032"	"ACH-000823"	753573	24360	-0.402974354689509
"SIDM01028"	"ACH-000809"	753574	24360	0.605862214405188
"SIDM01025"	"ACH-000637"	753575	24360	1.80998452806276
"SIDM01024"	"ACH-000784"	753576	24360	0.932680844658174
"SIDM00187"	"ACH-002150"	753577	24360	-2.58600418011424
"SIDM00186"	"ACH-002151"	753578	24360	-3.44000789804543
"SIDM00185"	"ACH-002152"	753579	24360	-0.81652148993263
"SIDM00184"	"ACH-002153"	753581	24360	-0.144653336858628
"SIDM00183"	"ACH-002154"	753582	24360	-2.58619758547597
"SIDM00182"	"ACH-002265"	753583	24360	0.281952558192443
"SIDM00181"	"ACH-002266"	753584	24360	-2.79729378668508
"SIDM00180"	"ACH-002155"	753585	24360	-4.15867357813653
"SIDM00345"	"ACH-000627"	753586	24360	-0.941272912967481
"SIDM00296"	"ACH-002051"	753588	24360	-4.67759502148192
"SIDM00292"	"ACH-002077"	753589	24360	-0.861544535541172
"SIDM00339"	"ACH-000787"	753592	24360	-1.86433711532655
"SIDM00245"	"ACH-001958"	753594	24360	-2.42429006151242
"SIDM00053"	"ACH-002164"	753595	24360	-0.419202942745144
"SIDM00516"	"ACH-002166"	753596	24360	-1.58931470785741
"SIDM00751"	"ACH-000892"	753600	24360	-0.0793520244296946
"SIDM00493"	"ACH-001075"	753604	24360	-3.75816980967785
"SIDM00927"	"ACH-000871"	753605	24360	-2.58389229996788
"SIDM01133"	"ACH-002177"	753607	24360	0.0698749993519845
"SIDM00237"	"ACH-000030"	753608	24360	-2.26084112761173
"SIDM00367"	"ACH-002197"	753610	24360	-4.75532762306508
"SIDM00391"	"ACH-000363"	753612	24360	-2.35312316691506
"SIDM00249"	"ACH-000353"	753614	24360	-3.78921912404447
"SIDM00417"	"ACH-000626"	753615	24360	-0.194089446422067
"SIDM01229"	"ACH-002217"	753616	24360	-2.9619199548619
"SIDM01009"	"ACH-000259"	753618	24360	-4.10431654783677
"SIDM00395"	"ACH-000099"	753620	24360	-4.35975647299635
"SIDM00369"	"ACH-000647"	753621	24360	-1.37997240257906
"SIDM00349"	"ACH-000318"	753622	24360	-3.21542566106786
"SIDM00326"	"ACH-000452"	753623	24360	-1.70436763026492
"SIDM00934"	"ACH-000354"	753624	24360	-3.14742104893892
"SIDM00105"	"ACH-000001"	905933	24360	-1.17801237576187
"SIDM00088"	"ACH-000090"	905934	24360	-1.79314396996918
"SIDM00120"	"ACH-000979"	905935	24360	-2.91796717177514
"SIDM00783"	"ACH-000971"	905936	24360	-2.98542603577556
"SIDM00789"	"ACH-000997"	905937	24360	-2.74905423639946
"SIDM00829"	"ACH-000002"	905938	24360	-4.47260602148195
"SIDM00136"	"ACH-000552"	905939	24360	-2.12450010798462
"SIDM00791"	"ACH-000551"	905940	24360	-1.76197265944035
"SIDM00139"	"ACH-000367"	905941	24360	1.25384173675315
"SIDM00138"	"ACH-000900"	905942	24360	-2.50249856907475
"SIDM00144"	"ACH-000463"	905943	24360	-4.57982823962442
"SIDM00116"	"ACH-000343"	905944	24360	-1.03389340359459
"SIDM00097"	"ACH-000147"	905945	24360	-1.33385433539325
"SIDM00148"	"ACH-000019"	905946	24360	-1.8414666565701
"SIDM00125"	"ACH-000649"	905947	24360	-3.43610193163385
"SIDM00124"	"ACH-000555"	905948	24360	-1.25927691652764
"SIDM00903"	"ACH-000681"	905949	24360	-3.20988950722543
"SIDM00123"	"ACH-000046"	905950	24360	-3.73380335553134
"SIDM00122"	"ACH-000288"	905951	24360	-0.846118457259552
"SIDM00121"	"ACH-001738"	905952	24360	-4.65489536203596
"SIDM00081"	"ACH-000615"	905954	24360	-1.8238643938312
"SIDM00082"	"ACH-001190"	905955	24360	1.00679524350061
"SIDM00080"	"ACH-000730"	905956	24360	-2.28408867864893
"SIDM00135"	"ACH-000148"	905957	24360	-0.684660599639814
"SIDM00145"	"ACH-001127"	905958	24360	-4.98015870015425
"SIDM00079"	"ACH-000811"	905959	24360	-1.42271061553463
"SIDM00146"	"ACH-000768"	905960	24360	-2.11699950975725
"SIDM00826"	"ACH-001039"	905961	24360	-1.28746857413692
"SIDM00841"	"ACH-000651"	905962	24360	-3.18253500925797
"SIDM00941"	"ACH-000433"	905963	24360	-3.24702138342516
"SIDM00087"	"ACH-000817"	905964	24360	-3.96344249469514
"SIDM00096"	"ACH-000338;ACH-000338"	905965	24360	-5.26322143087232
"SIDM00117"	"ACH-000837"	905967	24360	-0.940547571822852
"SIDM00151"	"ACH-000966"	905968	24360	-2.16931167792877
"SIDM00091"	"ACH-001151"	905969	24360	0.453549074664415
"SIDM00119"	"ACH-000706"	905970	24360	1.03542912300376
"SIDM00118"	"ACH-001081"	905971	24360	-1.40269905424018
"SIDM00133"	"ACH-000861"	905972	24360	-2.55942282649844
"SIDM00134"	"ACH-000825"	905973	24360	-1.4370024746629
"SIDM00149"	"ACH-000750"	905974	24360	-2.71310486585857
"SIDM00003"	"ACH-002159"	905975	24360	-2.97769564686988
"SIDM00107"	"ACH-000425"	905976	24360	-3.45489186250895
"SIDM00108"	"ACH-000579"	905977	24360	0.167252176700311
"SIDM00086"	"ACH-002195"	905978	24360	-0.615849274768439
"SIDM00094"	"ACH-002199"	905979	24360	-1.38067748411448
"SIDM00113"	"ACH-001208"	905980	24360	0.844038887505173
"SIDM00112"	"ACH-000428"	905981	24360	-2.99138778335518
"SIDM00095"	"ACH-000504"	905982	24360	-1.92222568612393
"SIDM00111"	"ACH-000232"	905983	24360	-3.49444288840331
"SIDM00083"	"ACH-000273"	905984	24360	-3.52249365302082
"SIDM00084"	"ACH-000376"	905985	24360	-4.14538777511077
"SIDM00085"	"ACH-000655"	905986	24360	-3.03996905138752
"SIDM00150"	"ACH-000969"	905989	24360	-2.01442529812217
"SIDM00092"	"ACH-000617"	905990	24360	0.606632329302528
"SIDM00090"	"ACH-000696"	905991	24360	-3.18246012821182
"SIDM00132"	"ACH-000535"	906693	24360	-0.635353358652019
"SIDM00984"	"ACH-001452"	906695	24360	-5.13928600789596
"SIDM00987"	"ACH-000191"	906696	24360	-3.48972921106926
"SIDM00490"	"ACH-001016"	906746	24360	-2.7888919850257
"SIDM01245"	"ACH-002216"	906763	24360	-3.09466347352565
"SIDM00900"	"ACH-002210"	906765	24360	-4.572259283487
"SIDM00850"	"ACH-000880"	906790	24360	-3.26231452105844
"SIDM00494"	"ACH-000528"	906791	24360	-2.38742349742772
"SIDM00797"	"ACH-000788"	906792	24360	-2.97620950911681
"SIDM00795"	"ACH-000219"	906793	24360	-4.32347804586791
"SIDM00796"	"ACH-000740"	906794	24360	-2.97272203780199
"SIDM00997"	"ACH-001306"	906795	24360	-0.782526965933148
"SIDM00983"	"ACH-000896"	906797	24360	-4.57800281491168
"SIDM00999"	"ACH-000973"	906798	24360	-5.14379233464172
"SIDM01076"	"ACH-000070"	906800	24360	-5.01366466407262
"SIDM00893"	"ACH-000536"	906801	24360	-2.46771733376618
"SIDM00210"	"ACH-000657"	906804	24360	-3.39754032611877
"SIDM00513"	"ACH-000161"	906805	24360	0.675769669867384
"SIDM00952"	"ACH-002220"	906807	24360	-4.04674410311172
"SIDM00506"	"ACH-000508"	906808	24360	-1.10389042012718
"SIDM00954"	"ACH-001820"	906812	24360	-0.220702283645124
"SIDM00515"	"ACH-000401"	906813	24360	-2.1117929882865
"SIDM00140"	"ACH-000968"	906814	24360	-0.20725809499763
"SIDM00956"	"ACH-000717"	906817	24360	0.176146322838797
"SIDM00284"	"ACH-000805"	906818	24360	-2.43422531838894
"SIDM00910"	"ACH-000120"	906820	24360	-3.89934548976563
"SIDM00130"	"ACH-000138"	906821	24360	-3.5212153500986
"SIDM00923"	"ACH-001336"	906824	24360	-3.17523761181701
"SIDM00919"	"ACH-000713"	906825	24360	-3.81255069039181
"SIDM00940"	"ACH-000212"	906826	24360	-0.397647878422349
"SIDM00930"	"ACH-001715"	906827	24360	-2.62446359553797
"SIDM00931"	"ACH-000174"	906828	24360	-4.14385829917167
"SIDM00890"	"ACH-000580"	906830	24360	-2.96837136188866
"SIDM00845"	"ACH-000786"	906831	24360	-3.88128730237664
"SIDM00886"	"ACH-000334"	906832	24360	-4.62081588764441
"SIDM00887"	"ACH-000211"	906833	24360	-4.41361297624599
"SIDM00888"	"ACH-000055"	906834	24360	-4.52823046340345
"SIDM00867"	"ACH-000863"	906835	24360	-0.384704173135305
"SIDM00949"	"ACH-000233"	906836	24360	-5.27607278408096
"SIDM00831"	"ACH-000207"	906837	24360	-2.82319388556271
"SIDM00948"	"ACH-002232"	906838	24360	-2.38101988560661
"SIDM00947"	"ACH-000244"	906839	24360	1.00226156378593
"SIDM00281"	"ACH-002100"	906841	24360	-3.66313284201415
"SIDM00981"	"ACH-000056"	906842	24360	-5.62642323994323
"SIDM00864"	"ACH-001341"	906843	24360	-2.39525079341462
"SIDM01001"	"ACH-000258"	906844	24360	-4.32821399179579
"SIDM00863"	"ACH-001064"	906846	24360	-4.30709011581709
"SIDM00793"	"ACH-002236"	906847	24360	-2.63227690175825
"SIDM00280"	"ACH-000560"	906848	24360	-3.05891470366171
"SIDM00279"	"ACH-000225"	906849	24360	-1.10204750003076
"SIDM01056"	"ACH-000330"	906851	24360	0.222986707669435
"SIDM01051"	"ACH-000936"	906852	24360	0.586829569897692
"SIDM01047"	"ACH-000295"	906855	24360	-4.2844106968827
"SIDM00277"	"ACH-000198"	906856	24360	-4.08708582211923
"SIDM00276"	"ACH-002237"	906861	24360	-1.18769222221226
"SIDM01042"	"ACH-001065"	906862	24360	-0.968118075857002
"SIDM00860"	"ACH-000846"	906863	24360	-4.02615873121575
"SIDM00213"	"ACH-000903"	906864	24360	-3.79984343821257
"SIDM00857"	"ACH-000572"	906865	24360	-1.65605214112424
"SIDM01055"	"ACH-000098"	906868	24360	-2.39252342069492
"SIDM00274"	"ACH-000047"	906869	24360	-2.46424181071275
"SIDM01057"	"ACH-000081"	906870	24360	-4.35110105449743
"SIDM00273"	"ACH-000756"	906871	24360	-3.8168355370896
"SIDM00227"	"ACH-001344"	906872	24360	-0.564025628959096
"SIDM00544"	"ACH-001716"	906875	24360	-4.25122222239907
"SIDM01259"	"ACH-002238"	906877	24360	-4.0840488892874
"SIDM00853"	"ACH-000835"	906999	24360	-2.93362531744079
"SIDM01043"	"ACH-000913"	907000	24360	-4.87456702132843
"SIDM00852"	"ACH-000389"	907042	24360	-4.71277415138365
"SIDM01251"	"ACH-002240"	907043	24360	-4.56323870497137
"SIDM01073"	"ACH-002242"	907044	24360	-4.96030613443942
"SIDM00882"	"ACH-000277"	907045	24360	1.13307498443773
"SIDM00878"	"ACH-000930"	907046	24360	-0.347104874604733
"SIDM00875"	"ACH-000624"	907047	24360	-3.19979140834161
"SIDM00673"	"ACH-000668"	907048	24360	0.363820920764983
"SIDM00596"	"ACH-001517"	907051	24360	1.20839936056701
"SIDM00594"	"ACH-000004"	907053	24360	-3.97841924842441
"SIDM00290"	"ACH-000847"	907055	24360	-2.88598451643564
"SIDM00671"	"ACH-000061"	907056	24360	2.34668139066057
"SIDM00064"	"ACH-001089"	907057	24360	-3.36608991287945
"SIDM00291"	"ACH-002040"	907058	24360	-1.81086599173223
"SIDM00806"	"ACH-000613"	907060	24360	-2.75344878041314
"SIDM00589"	"ACH-000778"	907061	24360	-3.95320041408458
"SIDM00588"	"ACH-000546"	907062	24360	-3.11048352705949
"SIDM00661"	"ACH-000914"	907063	24360	-1.78627578876533
"SIDM00828"	"ACH-000054"	907064	24360	-0.964793473740567
"SIDM00676"	"ACH-000547"	907065	24360	-1.3307915168876
"SIDM00678"	"ACH-000724"	907066	24360	2.05147424455803
"SIDM00695"	"ACH-000322"	907067	24360	-1.96793434839883
"SIDM00679"	"ACH-001525"	907068	24360	-3.4337791629782
"SIDM00587"	"ACH-000976"	907069	24360	-1.14300901772214
"SIDM00585"	"ACH-000480"	907071	24360	1.2437337108014
"SIDM00599"	"ACH-001526"	907072	24360	-4.37127064719284
"SIDM00694"	"ACH-000538"	907073	24360	-4.21603628279098
"SIDM01060"	"ACH-000882"	907169	24360	-1.11711838668744
"SIDM01206"	"ACH-002248"	907170	24360	-4.75997105456884
"SIDM01059"	"ACH-000915"	907171	24360	-2.22852966277549
"SIDM00225"	"ACH-002143"	907172	24360	-2.68608707455067
"SIDM00224"	"ACH-000569"	907173	24360	-2.25581057972798
"SIDM01039"	"ACH-001529"	907175	24360	-2.38026719277179
"SIDM01218"	"ACH-001530"	907176	24360	-3.86795217071813
"SIDM00808"	"ACH-002252"	907268	24360	-3.5781958213116
"SIDM01013"	"ACH-000106"	907269	24360	-4.85674003713881
"SIDM01012"	"ACH-000346"	907270	24360	-5.5593219266496
"SIDM00613"	"ACH-000231"	907271	24360	-0.589549694968707
"SIDM01007"	"ACH-002256"	907272	24360	-1.58509674650708
"SIDM01010"	"ACH-000053"	907273	24360	-3.23600118619932
"SIDM01008"	"ACH-000315"	907274	24360	-2.98882414212817
"SIDM01005"	"ACH-000263"	907275	24360	-3.11301916044543
"SIDM00687"	"ACH-000793"	907276	24360	2.27248500767004
"SIDM01003"	"ACH-000101"	907277	24360	-4.88587518996539
"SIDM00785"	"ACH-000386"	907278	24360	-3.40149048029101
"SIDM00612"	"ACH-002257"	907279	24360	1.44656434696293
"SIDM01019"	"ACH-002258"	907280	24360	-2.8683433987861
"SIDM01020"	"ACH-000380"	907281	24360	-2.8285601109136
"SIDM00607"	"ACH-000622"	907282	24360	-1.10449975734418
"SIDM00533"	"ACH-000118"	907285	24360	-0.82638927811229
"SIDM00531"	"ACH-000213"	907286	24360	-3.94461099361027
"SIDM00541"	"ACH-000926"	907287	24360	-0.489579249960619
"SIDM00534"	"ACH-000986"	907289	24360	-1.34709463315208
"SIDM00535"	"ACH-001519"	907290	24360	-2.28088065852592
"SIDM00537"	"ACH-001345"	907291	24360	-3.13337863910694
"SIDM00523"	"ACH-000698"	907295	24360	-3.19397047598919
"SIDM00855"	"ACH-000375"	907298	24360	-3.02596796115633
"SIDM00856"	"ACH-000096"	907299	24360	-3.58533352375666
"SIDM00553"	"ACH-002262"	907300	24360	-4.64803134564412
"SIDM00308"	"ACH-000074"	907311	24360	-3.19733251568248
"SIDM01033"	"ACH-000486"	907312	24360	-3.41691128025179
"SIDM00555"	"ACH-000631"	907313	24360	-0.120434531030527
"SIDM00556"	"ACH-000227"	907314	24360	-2.62222341939355
"SIDM01031"	"ACH-000855"	907317	24360	-2.69515403154361
"SIDM01030"	"ACH-000693"	907318	24360	-1.11745141579876
"SIDM01029"	"ACH-000873"	907319	24360	-2.95873183506265
"SIDM01027"	"ACH-000865"	907320	24360	-1.04747361596643
"SIDM01026"	"ACH-000824"	907321	24360	-2.57384590815685
"SIDM00327"	"ACH-000754"	907322	24360	-3.45106870134952
"SIDM00329"	"ACH-000806"	907323	24360	-4.83085458751304
"SIDM00346"	"ACH-000301"	907783	24360	-4.05297630208846
"SIDM00297"	"ACH-002157"	907786	24360	-3.99083685290661
"SIDM00549"	"ACH-002267"	907787	24360	-4.64192191322703
"SIDM00683"	"ACH-000977"	907788	24360	-3.58889037356148
"SIDM00342"	"ACH-000104"	907789	24360	-1.79926237845996
"SIDM00839"	"ACH-000950"	907790	24360	-3.04330077386229
"SIDM00340"	"ACH-000204"	907791	24360	0.638604656650071
"SIDM00776"	"ACH-000501"	907792	24360	0.219200388709059
"SIDM00660"	"ACH-000985"	907794	24360	-0.268272528103868
"SIDM00677"	"ACH-000007"	907795	24360	-3.16024598023227
"SIDM01219"	"ACH-002158"	907796	24360	-2.33329252155311
"SIDM00637"	"ACH-000583"	907799	24360	-4.35092282159014
"SIDM01246"	"ACH-002160"	908118	24360	-5.64784808488401
"SIDM00633"	"ACH-000759"	908120	24360	-1.10988259466484
"SIDM00528"	"ACH-000934"	908121	24360	-0.997555696504008
"SIDM00272"	"ACH-000910"	908122	24360	-1.87531903731902
"SIDM00628"	"ACH-000849"	908123	24360	-2.51229985006784
"SIDM00337"	"ACH-000450"	908124	24360	-1.18956314069964
"SIDM00336"	"ACH-000881"	908125	24360	-0.74047535529392
"SIDM00526"	"ACH-000072"	908126	24360	-3.40419686094708
"SIDM00625"	"ACH-000449"	908127	24360	-2.9284088657065
"SIDM00545"	"ACH-000987"	908128	24360	-0.232586020948343
"SIDM00335"	"ACH-000192"	908129	24360	-0.281949018971593
"SIDM00334"	"ACH-000879"	908130	24360	-2.00982857292869
"SIDM00525"	"ACH-000359"	908131	24360	-3.3885413757217
"SIDM00331"	"ACH-000020"	908132	24360	-4.89600651863299
"SIDM00376"	"ACH-000156"	908133	24360	-4.35881483029042
"SIDM00386"	"ACH-000391"	908134	24360	-4.27787498145537
"SIDM00387"	"ACH-000078"	908135	24360	-5.2612673061093
"SIDM00388"	"ACH-002272"	908136	24360	-2.00721827163411
"SIDM00271"	"ACH-000351"	908138	24360	-0.935452862676734
"SIDM00260"	"ACH-002161"	908139	24360	1.19055738476487
"SIDM00441"	"ACH-002273"	908141	24360	-4.32665475768063
"SIDM00561"	"ACH-002274"	908142	24360	-3.11564644937949
"SIDM00438"	"ACH-002275"	908143	24360	-3.31744749943656
"SIDM00532"	"ACH-001125"	908144	24360	-1.5116476009616
"SIDM00504"	"ACH-001126"	908145	24360	-3.88357773352228
"SIDM00433"	"ACH-000795"	908146	24360	-4.6178680616222
"SIDM00431"	"ACH-000918"	908147	24360	-5.35630184786988
"SIDM01023"	"ACH-000006"	908148	24360	-3.87858136952965
"SIDM00623"	"ACH-002339"	908149	24360	-3.42702128958214
"SIDM00222"	"ACH-000319"	908150	24360	-1.68695721267305
"SIDM00562"	"ACH-002163"	908151	24360	-2.48167265889877
"SIDM00640"	"ACH-000335"	908152	24360	-2.66525763607491
"SIDM00657"	"ACH-000045"	908156	24360	-4.98431586812457
"SIDM00429"	"ACH-000938"	908158	24360	-4.83982999499714
"SIDM00641"	"ACH-000944"	908159	24360	-4.9545358735332
"SIDM00244"	"ACH-002083"	908440	24360	-4.84092066639066
"SIDM00655"	"ACH-001578"	908441	24360	0.681102581031721
"SIDM00777"	"ACH-000360"	908442	24360	-3.23053091463885
"SIDM01130"	"ACH-000395"	908443	24360	-1.55272460993292
"SIDM01146"	"ACH-000932"	908444	24360	-3.32294295479967
"SIDM01144"	"ACH-000303"	908445	24360	-4.78481789911736
"SIDM01145"	"ACH-000581"	908446	24360	-3.58475979027598
"SIDM00577"	"ACH-001603"	908447	24360	-4.45994673586774
"SIDM00576"	"ACH-002290"	908448	24360	-4.86486611909372
"SIDM00575"	"ACH-000200"	908449	24360	0.473670087814709
"SIDM00573"	"ACH-001606"	908450	24360	0.510521640469291
"SIDM00580"	"ACH-000168"	908451	24360	-3.63916375182871
"SIDM00574"	"ACH-001605"	908452	24360	-1.51528417801567
"SIDM01203"	"ACH-002291"	908454	24360	-3.66504845513557
"SIDM00572"	"ACH-000911"	908455	24360	-4.14941394449175
"SIDM00778"	"ACH-000403"	908457	24360	-0.704139230385137
"SIDM00779"	"ACH-000491"	908458	24360	0.335986500495833
